? | GET /api/v1/Exhibits/{Page Number} | List-All-Exhibits | resp=ExhibitData[list]
Organizations | GET /api/v1/Organizations/{ID}/Relationships/{Page Number} | Get-Organizations-Relationships | resp=RelationshipData[list]
Organizations | GET /api/v1/Organizations/{ID}/Services | Get-a-List-of-All-Services-of-an-Organization | resp=ServiceData[list]
Organizations | POST /api/v1/Organizations/{ID}/Services | Add-a-Service-to-an-Organization | resp=ServiceData
Organizations | GET /api/v1/Organizations/{ID}/Subscriptions/{Page Number} | Get-Organizations-Active-Subscriptions | resp=SubscriptionData[list]
Organizations | POST /api/v1/Organizations/{Record Number}/Categories | Add-Categories-for-an-Organization | resp=null
Requests | POST /api/v1/Requests | Add-Customer-Request | resp=null
Requests | PUT /api/v1/Requests | Update-Customer-Request | resp=RequestUpdateData
Requests | GET /api/v1/Requests/Open/{Page Number} | List-All-Open-Customer-Request | resp=RequestData[list]
Sales | POST /api/v1/Sales/Opportunities/{ID}/Activities | Add-Activity-to-Sales-Opportunity | resp=null
Sales | POST /api/v1/Sales/Opportunities/{ID}/Notes | Add-Note-to-Sales-Opportunity | resp=null
Setup | GET /api/v1/Setup/customfields/1 | List-of-all-custom-fields | resp=INLINE[list]
Shopping | GET /api/v1/Shopping/AbandonedCheckOuts/{Page Number} | GetAbandonedCheckouts | resp=AbandonedCheckoutData[list]
Tasks | POST /api/v1/tasks | Add-a-New-Task | resp=TaskData
Tasks | PUT /api/v1/tasks/{Task Number} | Update-Task-by-Task-Number | resp=TaskData
Tasks | PUT /api/v1/tasks/Users/{User ID or Email} | Update-User-Task-Progress-or-Mark-as-Completed | resp=UserTaskData
Tasks | GET /api/v1/tasks/Users/{User ID or Email}/Completed/{Page Number} | List-Completed-User-Tasks-by-User-ID-or-Email | resp=UserTaskData[list]
Tasks | GET /api/v1/tasks/Users/{User ID or Email}/Pending/{Page Number} | List-Pending-User-Tasks-by-User-ID-or-Email | resp=UserTaskData[list]
Tasks | POST /api/v1/tasks/Users/{User ID or Email}/Task | Assign-Task-to-a-User | resp=null
Webhook,Committee | POST /api/v1/Webhooks/CommitteeMemberUpdated | When-Committee-Member-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/Customer.AddressUpdated | When-Customer-Address-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/Customer.CustomFieldValueUpdated | When-Customer-Custom-Field-Value-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/Customer.Merged | When-Customer-Is-Merged | resp=null
Webhook,Customer | POST /api/v1/Webhooks/Customer.PhoneUpdated | When-Customer-Phone-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/Customer.RelationshipUpdated | When-Customer-Relationship-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/EmailUpdated | When-Email-Updated | resp=null
Webhook,Customer | POST /api/v1/Webhooks/RequestUpdated | When-Request-Updated | resp=null
Webhook,Events | POST /api/v1/Webhooks/Event.Registration.Substituted | When-Event-Registration-Substituted | resp=null
Webhook,Individuals | POST /api/v1/Webhooks/Individual.Deleted | When-Individual-Deleted | resp=null
Webhook,Individuals | POST /api/v1/Webhooks/Individual.RequestToBeForgotten | When-Individual-Request-Forgotten | resp=null
Webhook,Individuals | POST /api/v1/Webhooks/IndividualCreated | When-Individual-Created | resp=null
Webhook,Membership | POST /api/v1/Webhooks/Membership.Terminated | When-Membership-Terminated | resp=null
Webhook,Purchase | POST /api/v1/Webhooks/ProductPurchased | When-product-purchased | resp=null
Webhook,Purchase | POST /api/v1/Webhooks/Purchase.Paid | When-Purchase-Paid | resp=null
Webhook,Purchase | POST /api/v1/Webhooks/PurchaseCancelled | When-purchase-cancelled | resp=null
