package,current_version(s),latest_version,location_count,dep_type(s)
"cosmiconfig","^8.0.0 | 9.0.0 | ^9.0.0","9.0.0","14","dependencies"
"cron-parser","^4.9.0","5.5.0","3","dependencies"
"cssstyle","^4.0.1","6.0.1","2","dependencies"
"d3","^7.9.0 | ^7.8.5","7.9.0","3","dependencies"
"d3-cloud","^1.2.7","1.2.8","1","dependencies"
"d3-force","^3.0.0","3.0.0","1","dependencies"
"d3-hierarchy","^3.1.2","3.1.2","1","dependencies"
"d3-scale","^4.0.2","4.0.2","1","dependencies"
"d3-shape","^3.2.0","3.2.0","1","dependencies"
"data-urls","^5.0.0","7.0.0","2","dependencies"
"date-fns","^4.1.0 | ^2.30.0 | ^3.0.0 | ^3.6.0","4.1.0","4","dependencies"
"date-fns-tz","^3.2.0 | ^2.0.0 | ^3.1.3","3.2.0","3","dependencies"
"debug","^4.4.0","4.4.3","4","dependencies"
"decimal.js","^10.4.3","10.6.0","2","dependencies"
"dhtmlx-gantt","^8.0.10","9.1.1","2","dependencies"
"diff","8.0.2","8.0.3","1","dependencies"
"dotenv","^16.0.3 | 16.4.5 | ^16.4.1 | ^16.4.5 | ^16.3.1","17.2.4","30","dependencies | dev"
"dropbox","^10.34.0","10.34.0","1","dependencies"
"env-var","^7.5.0 | ^7.4.1 | ^7.3.0","7.5.0","8","dependencies"
"exceljs","^4.4.0","4.4.0","3","dependencies"
"express","^5.1.0 | ^4.21.2","5.2.1","6","dependencies"
"fast-glob","^3.3.2 | ^3.3.1","3.3.3","3","dependencies"
"figlet","^1.7.0","1.10.0","1","dependencies"
"form-data","^4.0.0","4.0.5","3","dependencies"
"fs-extra","^11.2.0","11.3.3","4","dependencies"
"glob","^10.3.10","13.0.1","1","dependencies"
"golden-layout","^2.6.0","2.6.0","4","dependencies | peer"
"googleapis","^130.0.0 | ^134.0.0","171.4.0","2","dependencies"
"graphql","^16.8.0","16.12.0","2","dependencies"
"graphql-request","^5.2.0","7.4.0","1","dependencies"
"graphql-scalars","^1.23.0","1.25.0","1","dependencies"
"graphql-subscriptions","^2.0.0","3.0.0","1","dependencies"
"graphql-type-json","0.3.2","0.3.2","1","dependencies"
"graphql-ws","^5.14.0","6.0.7","2","dependencies"
"groq-sdk","^0.31.0","0.37.0","1","dependencies"
"hammerjs","^2.0.0","2.0.8","1","dependencies"
"html-encoding-sniffer","^6.0.0","6.0.0","2","dependencies"
"html-to-text","^9.0.5","9.0.5","1","dependencies"
"http-proxy-agent","^7.0.2","7.0.2","2","dependencies"
"https-proxy-agent","^7.0.5","7.0.6","2","dependencies"
"inquirer","^8.2.5","13.2.2","1","dependencies"
"is-potential-custom-element-name","^1.0.1","1.0.1","2","dependencies"
"isolated-vm","^6.0.2","6.0.2","1","dependencies"
"jasmine-core","5.1.2 | ~5.1.0","6.0.1","2","dev"
"jest","^29.7.0 | ^27.5.1 | ^29.5.0","30.2.0","13","dev"
"jest-environment-jsdom","^29.5.0","30.2.0","1","dev"
"jmespath","^0.16.0","0.16.0","1","dependencies"
